<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20010102,230100,64.3,64.3,64.3,64.3,4
AUDJPY,20010102,230300,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230400,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230500,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230700,64.29,64.29,64.27,64.27,4
AUDJPY,20010102,230800,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,230900,64.29,64.3,64.29,64.3,4
AUDJPY,20010102,231000,64.3,64.3,64.3,64.3,4
AUDJPY,20010102,231100,64.3,64.3,64.3,64.3,4
AUDJPY,20010102,231200,64.31,64.31,64.31,64.31,4
AUDJPY,20010102,231300,64.31,64.31,64.3,64.3,4
AUDJPY,20010102,231400,64.3,64.3,64.28,64.28,4
AUDJPY,20010102,231500,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231600,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231700,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231800,64.27,64.27,64.27,64.27,4
AUDJPY,20010102,231900,64.27,64.27,64.27,64.27,4
AUDJPY,20010102,232000,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,232100,64.28,64.28,64.27,64.27,4
AUDJPY,20010102,232400,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,232500,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,232600,64.28,64.29,64.28,64.29,4
AUDJPY,20010102,232700,64.29,64.29,64.28,64.28,4
